"Time","LineName","MachineName","LaneNo","ProgramName","PanelID","PanelStatus"
"2022/06/18 14:25:21","E1-2F-S10","E1-2F-S10-NXT","1","H27-E75-T01-S10-C6RH_T01","AH27E75231443V35","0"


"SequenceNo","ModuleNo","StageNo","SlotNo","PartNo","ReelID","FeederID","Vendor","LotNo","DateCode","LightingClass","PickupStatus","BlockNo","Reference","Part2DCode","NozzleID","HolderNo","PickupX","PickupY","NotchOrientation","MapRotation"
"137","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","10","DZ0210","","H29 117204","11","-1","-1","0","0"
"139","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","10","DZ0212","","H29 095292","12","-1","-1","0","0"
"31","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","3","DZ0212","","H29 117184","1","-1","-1","0","0"
"29","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","3","DZ0210","","H29 095227","2","-1","-1","0","0"
"32","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","3","DZ0213","","H29 095283","3","-1","-1","0","0"
"30","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","3","DZ0211","","H29 098479","4","-1","-1","0","0"
"129","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","6","DZ0211","","H29 097312","5","-1","-1","0","0"
"131","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","6","DZ0213","","H29 095253","6","-1","-1","0","0"
"128","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","6","DZ0210","","H29 097849","7","-1","-1","0","0"
"130","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","6","DZ0212","","H29 095305","8","-1","-1","0","0"
"22","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","2","DZ0212","","H29 117251","9","-1","-1","0","0"
"20","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","2","DZ0210","","H29 117238","10","-1","-1","0","0"
"23","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","2","DZ0213","","H29 117204","11","-1","-1","0","0"
"21","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","2","DZ0211","","H29 095292","12","-1","-1","0","0"
"120","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","5","DZ0211","","H29 117184","1","-1","-1","0","0"
"122","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","5","DZ0213","","H29 095227","2","-1","-1","0","0"
"119","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","5","DZ0210","","H29 095283","3","-1","-1","0","0"
"121","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","5","DZ0212","","H29 098479","4","-1","-1","0","0"
"4","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","1","DZ0212","","H29 097312","5","-1","-1","0","0"
"2","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","1","DZ0210","","H29 095253","6","-1","-1","0","0"
"5","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","1","DZ0213","","H29 097849","7","-1","-1","0","0"
"3","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","1","DZ0211","","H29 095305","8","-1","-1","0","0"
"41","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","4","DZ0213","","H29 117251","9","-1","-1","0","0"
"39","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","4","DZ0211","","H29 117238","10","-1","-1","0","0"
"40","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","4","DZ0212","","H29 117204","11","-1","-1","0","0"
"38","2","1","12","377S00094-A1","377S00094-A120220520505724","KT8FL 878499","0001001828","RU202205G20","20220307","","0","4","DZ0210","","H29 095292","12","-1","-1","0","0"
"6","5","1","23","516S00115-A1","516S00115-A120220517047252","KT16F 050059","0001000094","20302Q791","20220226","","0","1","J0200","","0IS 000000","1","-1","-1","0","0"
"24","5","1","23","516S00115-A1","516S00115-A120220517047252","KT16F 050059","0001000094","20302Q791","20220226","","0","2","J0200","","0IS 000000","2","-1","-1","0","0"
"26","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","2","SH0201","","K14 021836","3","-1","-1","0","0"
"125","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","5","SH0201","","K14 013166","4","-1","-1","0","0"
"8","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","1","SH0201","","K14 021774","5","-1","-1","0","0"
"44","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","4","SH0201","","K14 020468","6","-1","-1","0","0"
"35","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","3","SH0201","","K14 022877","7","-1","-1","0","0"
"134","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","6","SH0201","","K14 022893","8","-1","-1","0","0"
"33","5","1","23","516S00115-A1","516S00115-A120220517047252","KT16F 050059","0001000094","20302Q791","20220226","","0","3","J0200","","0IS 000000","2","-1","-1","0","0"
"71","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","7","SH0201","","K14 021836","3","-1","-1","0","0"
"143","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","10","SH0201","","K14 013166","4","-1","-1","0","0"
"80","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","8","SH0201","","K14 021774","5","-1","-1","0","0"
"152","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","11","SH0201","","K14 020468","6","-1","-1","0","0"
"89","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","9","SH0201","","K14 022877","7","-1","-1","0","0"
"161","5","1","11","806-30066-A1","806-30066-A120220513000001","KT12F 121564","0001001830","20220513001","20220513","","0","12","SH0201","","K14 022893","8","-1","-1","0","0"
"7","6","1","23","514-00134-A5","514-00134-A520220518000164","KT32L 032862","0001002993","FTG2214A","20220518","","0","1","J0201","","K56 010464","1","-1","-1","0","0"
"42","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","4","J0200","","0IS 000000","3","-1","-1","0","0"
"123","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","5","J0200","","0IS 000000","5","-1","-1","0","0"
"132","6","1","20","516S00115-A1","516S00115-A120220517047251","KT16F 064960","0001000094","20302Q791","20220226","","0","6","J0200","","0IS 000000","7","-1","-1","0","0"
